Variable,Coefficient,Std_Error,t_stat,p_value
const,40.715261335152945,8.479072482250212,4.801853200380681,0.0009712082617293291
lide.L1,-0.7410166230449011,0.28970368964375887,-2.557843236156606,0.030795903237797653
lide.L2,-0.5093840249210668,0.2809282945763707,-1.8132172328501077,0.10320729777631477
d_frazer.L0,0.0028599482647937435,1.6276766625290031,0.0017570739512539906,0.9986363887184978
d_frazer.L1,5.244274423374577,2.371340754822755,2.211522917028666,0.05431013473905115
d_frazer.L2,3.6627656637223396,1.9689800461055518,1.86023503436052,0.09577752992806979
change_instab.L0,0.017532348846259982,0.07866460159578686,0.22287469192749312,0.8286090859861878
change_instab.L1,0.3317263900648233,0.08058129448493494,4.116667424930002,0.0026108937146905927
change_instab.L2,-0.14866477099540276,0.14064002258461997,-1.0570587821539525,0.31803131950370617
gdp.L0,0.03677478103052027,0.019944646214702676,1.8438422338828382,0.0983092265613443
gdp.L1,0.0835554580347273,0.02834566778945034,2.9477329183200576,0.01628080293233052
gdp.L2,0.04747737321686629,0.02018811320306857,2.351748909831246,0.04318118676761595
gdp.L3,0.09410252001234687,0.028214919646485512,3.335204253330858,0.008726503430220732
open_services.L0,-0.1695279875398339,0.10357484201747595,-1.6367680050260642,0.13610589015913013
open_services.L1,0.23621070542412337,0.1265678013966113,1.8662780171391016,0.09485976104805868
open_services.L2,0.15820504780663502,0.0861640785238531,1.8360905207480234,0.09952807435996024
open_services.L3,0.0657764295005765,0.06603007626792284,0.996158617683294,0.34520013559339735
