Variable,Coefficient,Std_Error,t_stat,p_value
const,-8.291978215169138e-15,0.06463744389872156,-1.2828443878692953e-13,0.9999999999998997
ce_lag,-2.250400647965977,0.3440563352054747,-6.54079119520357,2.7663500446534252e-05
d_lide_l1,0.5093840249210724,0.19431449022996491,2.6214412744939035,0.02232547628738643
dd_frazer,0.0028599482648137275,0.9470431566809651,0.0030198711058076646,0.9976401177269338
dd_frazer_l1,-3.6627656637224097,1.4564430723556416,-2.514870463009774,0.02716385401166143
d_change_instab,0.017532348846257814,0.04565044693476892,0.3840564555985669,0.7076552026305183
d_change_instab_l1,0.14866477099540393,0.05233564942927854,2.840602392758983,0.014880067614898117
d_gdp,0.03677478103052,0.010569248579677042,3.479413011558075,0.004551288449203967
d_gdp_l1,-0.14157989322921535,0.025384725383822044,-5.577365564862314,0.00012040026537986076
d_gdp_l2,-0.0941025200123477,0.018494048853522987,-5.088259512974187,0.00026696013283551386
d_open_services,-0.16952798753983264,0.055995166930512805,-3.0275467836395307,0.010514414830833032
d_open_services_l1,-0.22398147730721193,0.0512426299667597,-4.370998862714604,0.0009105875947814519
d_open_services_l2,-0.06577642950057563,0.05286284727474198,-1.244284651538318,0.23715043925934468
